"","venn_group","closestgene","comparison","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","distance","Regulation"
"1","DG","Gm33838","PTZvsSAL_1hr",233,4.8598183068607e-09,-0.657158821515442,0.326,0.508,0.000804654696521847,"chr9-35304951-35305862","ExcitatoryNeuronsMatureDG",0,"Down"
"2","DG","Slc25a30","PTZvsSAL_1hr",234,2.68296274824919e-07,1.92083186814703,0.111,0.031,0.0444226191115863,"chr14-75770994-75771933","ExcitatoryNeuronsMatureDG",0,"Up"
"3","CA3","Cwc22","PTZvsSAL_1hr",134,8.85622864240542e-14,0.514672494312905,0.75,0.733,1.46635234500899e-08,"chr2-77945820-77946697","ExcitatoryNeuronsCA3",0,"Up"
"4","CA3","Cwc22","PTZvsSAL_1hr",136,4.94715744645605e-08,0.429780882807241,0.647,0.641,0.00819115699882068,"chr2-77897231-77898068","ExcitatoryNeuronsCA3",0,"Up"
"5","CA3","Cwc22","PTZvsSAL_1hr",158,1.38302675095756e-08,0.782682115939114,0.737,0.573,0.00228991888236296,"chr2-77945820-77946697","ExcitatoryNeuronsImmatureDG",0,"Up"
"6","CA3","Xrcc4","PTZvsSAL_1hr",135,4.64145782822108e-08,-2.43204363283924,0.014,0.076,0.0076850009699205,"chr13-90010860-90011817","ExcitatoryNeuronsCA3",0,"Down"
"7","CA1","Ezh2","PTZvsSAL_1hr",65,1.49883193681515e-07,-0.297967639147061,0.566,0.683,0.0248166100274295,"chr6-47650634-47651570","ExcitatoryNeuronsCA1",55292,"Down"
"8","CA1","Gm5535","PTZvsSAL_1hr",66,1.82637908184239e-07,-0.89876895314825,0.088,0.166,0.030239906371789,"chr2-144165056-144166057","ExcitatoryNeuronsCA1",0,"Down"
"9","CA1","Gm50240","PTZvsSAL_1hr",67,2.40886929805768e-07,0.715244879536213,0.203,0.132,0.0398843716287305,"chr17-30580693-30581647","ExcitatoryNeuronsCA1",0,"Up"
"10","CA1","Rps15a","PTZvsSAL_1hr",68,2.70072486867222e-07,-1.93967726638813,0.013,0.05,0.0447167118680666,"chr7-117972378-117973236","ExcitatoryNeuronsCA1",131135,"Down"
"11","Shared","Cwc22","PTZvsSAL_24hr",69,3.17893093954078e-56,-0.941649878511862,0.494,0.806,5.26345132452586e-51,"chr2-77945820-77946697","ExcitatoryNeuronsCA1",0,"Down"
"12","Shared","Cwc22","PTZvsSAL_24hr",70,8.25038870401492e-39,-1.03839647673118,0.317,0.624,1.36604160888986e-33,"chr2-77933432-77934324","ExcitatoryNeuronsCA1",0,"Down"
"13","Shared","Cwc22","PTZvsSAL_24hr",72,3.2777296125465e-33,-1.0450855225251,0.27,0.538,5.42703525138162e-28,"chr2-77881108-77882033","ExcitatoryNeuronsCA1",0,"Down"
"14","Shared","Cwc22","PTZvsSAL_24hr",74,7.17526516856147e-26,-0.832764974679735,0.342,0.605,1.18803017975423e-20,"chr2-77897231-77898068","ExcitatoryNeuronsCA1",0,"Down"
"15","Shared","Cwc22","PTZvsSAL_24hr",75,7.99047960535495e-21,-0.979531591959724,0.21,0.416,1.32300767969744e-15,"chr2-77917741-77918635","ExcitatoryNeuronsCA1",0,"Down"
"16","Shared","Cwc22","PTZvsSAL_24hr",76,8.48136630048583e-21,-0.945927364070897,0.214,0.429,1.40428526247034e-15,"chr2-77941335-77942214","ExcitatoryNeuronsCA1",0,"Down"
"17","Shared","Cwc22","PTZvsSAL_24hr",77,4.68306969946585e-20,-1.05854615825016,0.173,0.366,7.75389899349659e-15,"chr2-77913469-77914332","ExcitatoryNeuronsCA1",0,"Down"
"18","Shared","Cwc22","PTZvsSAL_24hr",78,2.2070657572576e-15,-1.08732066780958,0.13,0.286,3.65430498626412e-10,"chr2-77885405-77886229","ExcitatoryNeuronsCA1",0,"Down"
"19","Shared","Cwc22","PTZvsSAL_24hr",79,4.64118148668745e-15,-0.912504307614741,0.173,0.345,7.68454342295302e-10,"chr2-77927952-77928844","ExcitatoryNeuronsCA1",0,"Down"
"20","Shared","Cwc22","PTZvsSAL_24hr",80,7.60476548894514e-15,-1.36962941872216,0.076,0.198,1.25914383630111e-09,"chr2-77951125-77951993","ExcitatoryNeuronsCA1",4749,"Down"
"21","Shared","Cwc22","PTZvsSAL_24hr",82,6.60483608923331e-14,-0.875035236688245,0.176,0.349,1.09358252580263e-08,"chr2-77889368-77890235","ExcitatoryNeuronsCA1",0,"Down"
"22","Shared","Cwc22","PTZvsSAL_24hr",83,3.61202631727145e-13,-1.01936182985162,0.13,0.275,5.98054033429585e-08,"chr2-77975363-77976288","ExcitatoryNeuronsCA1",28987,"Down"
"23","Shared","Cwc22","PTZvsSAL_24hr",85,2.97403224120099e-11,-0.980391391526984,0.12,0.252,4.92419440272371e-06,"chr2-77919682-77920650","ExcitatoryNeuronsCA1",0,"Down"
"24","Shared","Cwc22","PTZvsSAL_24hr",86,3.19665526664034e-11,-1.13799466030829,0.09,0.193,5.29279802463441e-06,"chr2-77996768-77997711","ExcitatoryNeuronsCA1",50392,"Down"
"25","Shared","Cwc22","PTZvsSAL_24hr",87,1.48420983713975e-10,-1.10979964634517,0.083,0.188,2.45745075364739e-05,"chr2-77980362-77981176","ExcitatoryNeuronsCA1",33986,"Down"
"26","Shared","Cwc22","PTZvsSAL_24hr",88,5.42393524524951e-09,-1.00004851912973,0.089,0.186,0.000898057230361697,"chr2-77991040-77991759","ExcitatoryNeuronsCA1",44664,"Down"
"27","Shared","Cwc22","PTZvsSAL_24hr",91,4.66700319634179e-08,-0.902843605850739,0.097,0.189,0.00772729720227899,"chr2-77994723-77995696","ExcitatoryNeuronsCA1",48347,"Down"
"28","Shared","Cwc22","PTZvsSAL_24hr",95,1.74939265254879e-07,-0.776061567213519,0.127,0.24,0.0289652189660461,"chr2-77912145-77913036","ExcitatoryNeuronsCA1",0,"Down"
"29","Shared","Cwc22","PTZvsSAL_24hr",137,6.90931605967451e-27,-1.13433910059607,0.374,0.713,1.14399618794849e-21,"chr2-77897231-77898068","ExcitatoryNeuronsCA3",0,"Down"
"30","Shared","Cwc22","PTZvsSAL_24hr",139,1.69117093599434e-21,-0.910949741493829,0.493,0.793,2.80012245385391e-16,"chr2-77945820-77946697","ExcitatoryNeuronsCA3",0,"Down"
"31","Shared","Cwc22","PTZvsSAL_24hr",141,2.13433961357036e-19,-0.962260538787815,0.372,0.673,3.53389012837685e-14,"chr2-77933432-77934324","ExcitatoryNeuronsCA3",0,"Down"
"32","Shared","Cwc22","PTZvsSAL_24hr",142,3.1495719958665e-18,-1.17379443772609,0.262,0.574,5.21484084071604e-13,"chr2-77913469-77914332","ExcitatoryNeuronsCA3",0,"Down"
"33","Shared","Cwc22","PTZvsSAL_24hr",143,9.46079549774021e-18,-1.45272099926229,0.174,0.452,1.56645229294734e-12,"chr2-77881108-77882033","ExcitatoryNeuronsCA3",0,"Down"
"34","Shared","Cwc22","PTZvsSAL_24hr",146,2.53144585466705e-11,-1.20087822016633,0.17,0.384,4.19139084494787e-06,"chr2-77975363-77976288","ExcitatoryNeuronsCA3",28987,"Down"
"35","Shared","Cwc22","PTZvsSAL_24hr",147,5.33755751068145e-10,-1.42224289523308,0.099,0.268,8.8375540971606e-05,"chr2-77951125-77951993","ExcitatoryNeuronsCA3",4749,"Down"
"36","Shared","Cwc22","PTZvsSAL_24hr",148,3.51936684860892e-09,-0.935855523102249,0.209,0.412,0.000582712127224724,"chr2-77927952-77928844","ExcitatoryNeuronsCA3",0,"Down"
"37","Shared","Cwc22","PTZvsSAL_24hr",149,2.10713709319612e-08,-1.16552891630061,0.134,0.304,0.00348885009931761,"chr2-77991040-77991759","ExcitatoryNeuronsCA3",44664,"Down"
"38","Shared","Cwc22","PTZvsSAL_24hr",151,5.23221019174163e-08,-1.24791392962181,0.106,0.266,0.00866312738077237,"chr2-77994723-77995696","ExcitatoryNeuronsCA3",48347,"Down"
"39","Shared","Cwc22","PTZvsSAL_24hr",152,1.53203970722901e-07,-1.54143714853528,0.059,0.188,0.0253664410445029,"chr2-77959240-77959989","ExcitatoryNeuronsCA3",12864,"Down"
"40","Shared","Cwc22","PTZvsSAL_24hr",160,3.26196981480295e-22,-0.914389715486398,0.343,0.598,5.40094128146369e-17,"chr2-77897231-77898068","ExcitatoryNeuronsImmatureDG",0,"Down"
"41","Shared","Cwc22","PTZvsSAL_24hr",161,2.51890314215912e-20,-0.780130729312425,0.432,0.676,4.17062349956711e-15,"chr2-77945820-77946697","ExcitatoryNeuronsImmatureDG",0,"Down"
"42","Shared","Cwc22","PTZvsSAL_24hr",163,1.24945141168909e-07,-0.91532785454154,0.133,0.263,0.0206875418587598,"chr2-77933432-77934324","ExcitatoryNeuronsImmatureDG",0,"Down"
"43","Shared","Cwc22","PTZvsSAL_24hr",235,1.95654394423682e-39,-0.985251955750042,0.444,0.767,3.23950850479124e-34,"chr2-77945820-77946697","ExcitatoryNeuronsMatureDG",0,"Down"
"44","Shared","Cwc22","PTZvsSAL_24hr",236,5.59610092029633e-23,-1.10122532760578,0.242,0.515,9.26563217676225e-18,"chr2-77897231-77898068","ExcitatoryNeuronsMatureDG",0,"Down"
"45","Shared","Cwc22","PTZvsSAL_24hr",237,5.50394513793938e-21,-1.09890932312657,0.219,0.474,9.11304708324037e-16,"chr2-77933432-77934324","ExcitatoryNeuronsMatureDG",0,"Down"
"46","Shared","Cwc22","PTZvsSAL_24hr",240,5.97142900301461e-11,-1.48905028853939,0.06,0.175,9.88707414316138e-06,"chr2-77994723-77995696","ExcitatoryNeuronsMatureDG",48347,"Down"
"47","Shared","Cwc22","PTZvsSAL_24hr",242,5.29279443091362e-09,-1.49525729511228,0.044,0.139,0.000876343852309661,"chr2-77996768-77997711","ExcitatoryNeuronsMatureDG",50392,"Down"
"48","Shared","Cwc22","PTZvsSAL_24hr",247,8.3562658582952e-08,-1.78278043003347,0.027,0.093,0.0138357200695551,"chr2-77951125-77951993","ExcitatoryNeuronsMatureDG",4749,"Down"
"49","Shared","Cwc22","PTZvsSAL_24hr",248,1.02182614224062e-07,-1.21135925210887,0.066,0.162,0.0169186819849206,"chr2-77917741-77918635","ExcitatoryNeuronsMatureDG",0,"Down"
"50","Shared","4930440I19Rik","PTZvsSAL_24hr",71,4.61001027931715e-35,-0.991244237586362,0.313,0.6,7.63293231977378e-30,"chr2-78021505-78022372","ExcitatoryNeuronsCA1",28804,"Down"
"51","Shared","4930440I19Rik","PTZvsSAL_24hr",73,9.39719594307891e-29,-1.02886296799188,0.257,0.513,1.5559219238834e-23,"chr2-78003922-78004922","ExcitatoryNeuronsCA1",46254,"Down"
"52","Shared","4930440I19Rik","PTZvsSAL_24hr",81,3.77903542935883e-14,-1.1992752811946,0.096,0.233,6.2570623314523e-09,"chr2-78010459-78011213","ExcitatoryNeuronsCA1",39963,"Down"
"53","Shared","4930440I19Rik","PTZvsSAL_24hr",84,7.03597651446426e-13,-1.03467997107883,0.119,0.256,1.16496773942939e-07,"chr2-78009583-78010377","ExcitatoryNeuronsCA1",40799,"Down"
"54","Shared","4930440I19Rik","PTZvsSAL_24hr",89,6.84912272101692e-09,-1.233424515685,0.055,0.131,0.00113402979628693,"chr2-78011776-78012610","ExcitatoryNeuronsCA1",38566,"Down"
"55","Shared","4930440I19Rik","PTZvsSAL_24hr",138,3.29796096312458e-22,-1.10281698264698,0.328,0.666,5.46053290547425e-17,"chr2-78021505-78022372","ExcitatoryNeuronsCA3",28804,"Down"
"56","Shared","4930440I19Rik","PTZvsSAL_24hr",140,2.97436303570935e-21,-0.993569626570613,0.381,0.704,4.92474210911504e-16,"chr2-78003922-78004922","ExcitatoryNeuronsCA3",46254,"Down"
"57","Shared","4930440I19Rik","PTZvsSAL_24hr",144,8.47637396234368e-13,-1.24838697212465,0.161,0.395,1.40345866606713e-07,"chr2-78025644-78026476","ExcitatoryNeuronsCA3",24700,"Down"
"58","Shared","4930440I19Rik","PTZvsSAL_24hr",145,8.92303742214379e-13,-1.42027276807951,0.126,0.346,1.47741407509661e-07,"chr2-78010459-78011213","ExcitatoryNeuronsCA3",39963,"Down"
"59","Shared","4930440I19Rik","PTZvsSAL_24hr",150,3.05735911838012e-08,-1.13343702204335,0.132,0.32,0.00506216121307552,"chr2-78009583-78010377","ExcitatoryNeuronsCA3",40799,"Down"
"60","Shared","4930440I19Rik","PTZvsSAL_24hr",153,2.08439460822759e-07,-1.23882936766039,0.099,0.249,0.0345119468468067,"chr2-78026599-78027293","ExcitatoryNeuronsCA3",23883,"Down"
"61","Shared","4930440I19Rik","PTZvsSAL_24hr",162,9.98992002044589e-11,-1.31302657273881,0.089,0.241,1.65406102754529e-05,"chr2-78021505-78022372","ExcitatoryNeuronsImmatureDG",28804,"Down"
"62","Shared","4930440I19Rik","PTZvsSAL_24hr",238,2.96076009596337e-20,-1.23921918156583,0.166,0.413,4.90221931368943e-15,"chr2-78021505-78022372","ExcitatoryNeuronsMatureDG",28804,"Down"
"63","Shared","4930440I19Rik","PTZvsSAL_24hr",239,2.75210848844699e-19,-1.10979090808666,0.194,0.441,4.55674858757633e-14,"chr2-78003922-78004922","ExcitatoryNeuronsMatureDG",46254,"Down"
"64","Shared","4930440I19Rik","PTZvsSAL_24hr",241,2.38109754347322e-10,-1.61930692447411,0.045,0.151,3.94245463565491e-05,"chr2-78010459-78011213","ExcitatoryNeuronsMatureDG",39963,"Down"
"65","Shared","4930440I19Rik","PTZvsSAL_24hr",243,1.14191570813979e-08,-1.22405154228101,0.074,0.18,0.00189070409543829,"chr2-78009583-78010377","ExcitatoryNeuronsMatureDG",40799,"Down"
"66","Shared","4930440I19Rik","PTZvsSAL_24hr",245,2.35875210481855e-08,-1.41873125982339,0.052,0.151,0.00390545662251122,"chr2-78026599-78027293","ExcitatoryNeuronsMatureDG",23883,"Down"
"67","Shared","4930440I19Rik","PTZvsSAL_24hr",249,1.31389723224507e-07,-1.06644952443805,0.089,0.187,0.0217545906434512,"chr2-78025644-78026476","ExcitatoryNeuronsMatureDG",24700,"Down"
"68","DG","Rnf126","PTZvsSAL_24hr",244,2.18326055659427e-08,-0.673407287805091,0.245,0.403,0.00361489000136983,"chr10-79766767-79767780","ExcitatoryNeuronsMatureDG",0,"Down"
"69","DG","Yme1l1","PTZvsSAL_24hr",246,5.4616000525938e-08,-0.603981748121386,0.277,0.459,0.00904293505508113,"chr2-23155708-23156654","ExcitatoryNeuronsMatureDG",0,"Down"
"70","DG","Bola2","PTZvsSAL_24hr",250,1.64961888297215e-07,-0.923806121458653,0.121,0.251,0.0273132347310349,"chr7-126695383-126696325","ExcitatoryNeuronsMatureDG",0,"Down"
"71","DG","Mfsd14b","PTZvsSAL_24hr",251,1.89571771560847e-07,-0.771617499467326,0.166,0.292,0.0313879669326441,"chr13-65112476-65113384","ExcitatoryNeuronsMatureDG",0,"Down"
"72","CA3","Rmdn1","PTZvsSAL_24hr",154,2.20561028098572e-07,-0.871468898729765,0.196,0.358,0.0365189511053648,"chr4-19574684-19575598","ExcitatoryNeuronsCA3",0,"Down"
"73","CA1","Rad23b","PTZvsSAL_24hr",90,2.6176276509078e-08,-0.434981856676651,0.402,0.555,0.00433408463043757,"chr4-55349433-55350337","ExcitatoryNeuronsCA1",0,"Down"
"74","CA1","Gm13727","PTZvsSAL_24hr",92,6.33859077659519e-08,-1.05956298159165,0.068,0.148,0.010494994906532,"chr2-77870879-77871821","ExcitatoryNeuronsCA1",7931,"Down"
"75","CA1","Qk","PTZvsSAL_24hr",93,9.65422084456667e-08,-0.534645702391592,0.273,0.4,0.0159847830789744,"chr17-10319188-10320289","ExcitatoryNeuronsCA1",0,"Down"
"76","CA1","2210408I21Rik","PTZvsSAL_24hr",94,1.42223484224273e-07,-1.01068325208242,0.073,0.156,0.0235483689534656,"chr13-77396650-77397559","ExcitatoryNeuronsCA1",0,"Down"
"77","CA1","6330411D24Rik","PTZvsSAL_24hr",96,2.51194265232321e-07,-1.41851820167967,0.033,0.087,0.0415909880773111,"chr4-142577219-142578236","ExcitatoryNeuronsCA1",20204,"Down"
"78","CA1","Adgrb3","PTZvsSAL_24hr",97,2.51455337710467e-07,-0.780274412219742,0.113,0.207,0.0416342146307351,"chr1-25698471-25699426","ExcitatoryNeuronsCA1",0,"Down"
"79","Shared","Cwc22","24hrvs1hr_PTZ",12,7.74385758976907e-51,-0.920317534460047,0.494,0.696,1.28217373271083e-45,"chr2-77945820-77946697","ExcitatoryNeuronsCA1",0,"Down"
"80","Shared","Cwc22","24hrvs1hr_PTZ",13,5.91750380062961e-28,-0.876190293755813,0.317,0.495,9.79778856781646e-23,"chr2-77933432-77934324","ExcitatoryNeuronsCA1",0,"Down"
"81","Shared","Cwc22","24hrvs1hr_PTZ",14,7.33292134640085e-26,-0.811991491613375,0.342,0.517,1.21413378608763e-20,"chr2-77897231-77898068","ExcitatoryNeuronsCA1",0,"Down"
"82","Shared","Cwc22","24hrvs1hr_PTZ",17,1.25216373647778e-18,-1.00650634965163,0.173,0.307,2.07324506339835e-13,"chr2-77913469-77914332","ExcitatoryNeuronsCA1",0,"Down"
"83","Shared","Cwc22","24hrvs1hr_PTZ",18,3.8768705097824e-16,-1.06824481927092,0.13,0.255,6.41905080916202e-11,"chr2-77975363-77976288","ExcitatoryNeuronsCA1",28987,"Down"
"84","Shared","Cwc22","24hrvs1hr_PTZ",19,4.05150094196569e-15,-0.816019884630401,0.21,0.334,6.70819165464085e-10,"chr2-77917741-77918635","ExcitatoryNeuronsCA1",0,"Down"
"85","Shared","Cwc22","24hrvs1hr_PTZ",20,6.16820183117561e-15,-0.705178528896864,0.27,0.391,1.02128768179324e-09,"chr2-77881108-77882033","ExcitatoryNeuronsCA1",0,"Down"
"86","Shared","Cwc22","24hrvs1hr_PTZ",23,1.05738810604046e-13,-0.760740662834265,0.214,0.337,1.75074920881437e-08,"chr2-77941335-77942214","ExcitatoryNeuronsCA1",0,"Down"
"87","Shared","Cwc22","24hrvs1hr_PTZ",24,2.9142831552202e-13,-1.26073786343467,0.076,0.165,4.82526604859275e-08,"chr2-77951125-77951993","ExcitatoryNeuronsCA1",4749,"Down"
"88","Shared","Cwc22","24hrvs1hr_PTZ",27,5.04805109671101e-09,-0.692048849347424,0.173,0.267,0.000835820964235733,"chr2-77927952-77928844","ExcitatoryNeuronsCA1",0,"Down"
"89","Shared","Cwc22","24hrvs1hr_PTZ",29,7.44489573939897e-09,-0.684023381067653,0.176,0.265,0.00123267372225951,"chr2-77889368-77890235","ExcitatoryNeuronsCA1",0,"Down"
"90","Shared","Cwc22","24hrvs1hr_PTZ",98,7.39920847813312e-41,-1.14707614086797,0.493,0.75,1.22510914534994e-35,"chr2-77945820-77946697","ExcitatoryNeuronsCA3",0,"Down"
"91","Shared","Cwc22","24hrvs1hr_PTZ",99,1.58003783755601e-33,-1.2092926067487,0.374,0.647,2.61611604877661e-28,"chr2-77897231-77898068","ExcitatoryNeuronsCA3",0,"Down"
"92","Shared","Cwc22","24hrvs1hr_PTZ",100,1.07530349546607e-19,-1.12675635736783,0.262,0.481,1.78041225654803e-14,"chr2-77913469-77914332","ExcitatoryNeuronsCA3",0,"Down"
"93","Shared","Cwc22","24hrvs1hr_PTZ",103,2.8605813884389e-17,-0.860910617786772,0.372,0.574,4.73635042227994e-12,"chr2-77933432-77934324","ExcitatoryNeuronsCA3",0,"Down"
"94","Shared","Cwc22","24hrvs1hr_PTZ",105,1.12891927341245e-12,-1.28903058142005,0.134,0.293,1.8691855085672e-07,"chr2-77991040-77991759","ExcitatoryNeuronsCA3",44664,"Down"
"95","Shared","Cwc22","24hrvs1hr_PTZ",106,2.28447316750247e-12,-1.14471357796748,0.174,0.34,3.78247075762887e-07,"chr2-77881108-77882033","ExcitatoryNeuronsCA3",0,"Down"
"96","Shared","Cwc22","24hrvs1hr_PTZ",108,2.31126983510332e-09,-0.999864838253599,0.167,0.311,0.000382683880407563,"chr2-77917741-77918635","ExcitatoryNeuronsCA3",0,"Down"
"97","Shared","Cwc22","24hrvs1hr_PTZ",110,4.33687820857712e-09,-1.39184485050646,0.084,0.195,0.000718069935628739,"chr2-77987449-77988360","ExcitatoryNeuronsCA3",41073,"Down"
"98","Shared","Cwc22","24hrvs1hr_PTZ",114,3.62889213064927e-08,-1.22361474582069,0.099,0.202,0.00600846556747992,"chr2-77951125-77951993","ExcitatoryNeuronsCA3",4749,"Down"
"99","Shared","Cwc22","24hrvs1hr_PTZ",118,1.06698700771711e-07,-0.901474521117425,0.163,0.299,0.0176664239828745,"chr2-77889368-77890235","ExcitatoryNeuronsCA3",0,"Down"
"100","Shared","Cwc22","24hrvs1hr_PTZ",119,1.73349389435294e-07,-0.888465645320188,0.17,0.291,0.02870197845697,"chr2-77975363-77976288","ExcitatoryNeuronsCA3",28987,"Down"
"101","Shared","Cwc22","24hrvs1hr_PTZ",155,2.9250978442865e-32,-1.17437852169594,0.432,0.737,4.84317225372049e-27,"chr2-77945820-77946697","ExcitatoryNeuronsImmatureDG",0,"Down"
"102","Shared","Cwc22","24hrvs1hr_PTZ",156,2.12192604757431e-15,-0.950994199831275,0.343,0.551,3.51333661475022e-10,"chr2-77897231-77898068","ExcitatoryNeuronsImmatureDG",0,"Down"
"103","Shared","Cwc22","24hrvs1hr_PTZ",168,1.40334760755846e-10,-0.528133555351412,0.444,0.532,2.32356473426276e-05,"chr2-77945820-77946697","ExcitatoryNeuronsMatureDG",0,"Down"
"104","Shared","Tmem267","24hrvs1hr_PTZ",16,4.03251775027058e-19,-1.96804443962957,0.037,0.135,6.6767606146555e-14,"chr13-119601268-119602007","ExcitatoryNeuronsCA1",0,"Down"
"105","Shared","Tmem267","24hrvs1hr_PTZ",25,5.02465323518285e-13,-0.657614250644803,0.266,0.399,8.3194691010893e-08,"chr13-119487905-119488913","ExcitatoryNeuronsCA1",0,"Down"
"106","Shared","Tmem267","24hrvs1hr_PTZ",32,1.99476580317303e-08,-1.23673381529864,0.043,0.106,0.00330279358328769,"chr13-119596150-119597084","ExcitatoryNeuronsCA1",0,"Down"
"107","Shared","Tmem267","24hrvs1hr_PTZ",111,7.2539580344084e-09,-1.94004934490587,0.035,0.126,0.0012010595936311,"chr13-119596150-119597084","ExcitatoryNeuronsCA3",0,"Down"
"108","Shared","Tmem267","24hrvs1hr_PTZ",112,1.4506785365472e-08,-1.66897858896355,0.051,0.141,0.0024019319733173,"chr13-119601268-119602007","ExcitatoryNeuronsCA3",0,"Down"
"109","Shared","Tmem267","24hrvs1hr_PTZ",193,3.29031658048009e-08,-2.04300687260689,0.016,0.065,0.00544787587179831,"chr13-119596150-119597084","ExcitatoryNeuronsMatureDG",0,"Down"
"110","Shared","Tmem267","24hrvs1hr_PTZ",205,9.24679709373806e-08,-1.69851846752557,0.026,0.077,0.0153101993520149,"chr13-119601268-119602007","ExcitatoryNeuronsMatureDG",0,"Down"
"111","CA1_DG","Pdap1","24hrvs1hr_PTZ",31,1.75863289777318e-08,-1.30939093222573,0.039,0.098,0.00291182124782999,"chr5-145129980-145130884","ExcitatoryNeuronsCA1",0,"Down"
"112","CA1_DG","Pdap1","24hrvs1hr_PTZ",203,8.56915085876574e-08,-2.07383394947227,0.015,0.06,0.0141882001513842,"chr5-145129980-145130884","ExcitatoryNeuronsMatureDG",0,"Down"
"113","DG","Itga11","24hrvs1hr_PTZ",164,1.71224985579284e-13,-1.92083556474261,0.037,0.121,2.83502345373187e-08,"chr9-62763364-62764200","ExcitatoryNeuronsMatureDG",0,"Down"
"114","DG","Cr2","24hrvs1hr_PTZ",165,3.18405250378688e-12,-0.936181661309451,0.17,0.285,5.27193125209505e-07,"chr1-195241229-195242143","ExcitatoryNeuronsMatureDG",64512,"Down"
"115","DG","Slc25a30","24hrvs1hr_PTZ",166,1.38267215910347e-11,-1.82277741074321,0.033,0.111,2.28933177399239e-06,"chr14-75770994-75771933","ExcitatoryNeuronsMatureDG",0,"Down"
"116","DG","Gm16048","24hrvs1hr_PTZ",167,4.22173844422386e-11,-2.25169019067798,0.019,0.084,6.99005899425478e-06,"chr3-90451470-90452369","ExcitatoryNeuronsMatureDG",0,"Down"
"117","DG","Itpkb","24hrvs1hr_PTZ",169,3.31287035088447e-10,-1.72423290398742,0.034,0.105,5.48521882606994e-05,"chr1-180384194-180385117","ExcitatoryNeuronsMatureDG",0,"Down"
"118","DG","Sim1","24hrvs1hr_PTZ",170,4.70650824756738e-10,1.33009947178361,0.144,0.057,7.79270690074473e-05,"chr10-50894151-50895022","ExcitatoryNeuronsMatureDG",0,"Up"
